Session;Identifiant de l'établissement;Nom de l'établissement;Types d'établissement;Types de formation;Nom long de la formation;Mentions/Spécialités;Domaine;Formations en apprentissage;Internat;Aménagement;Informations complémentaires;Région;Département;Commune;Lien vers la fiche formation;Lien vers les données statistiques pour l'année antérieure;Site internet de l'établissement;Localisation;Nom court de la formation;Code interne Parcoursup de la formation;Code interne Parcoursup pour les portails;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2025;0134478X;SITE OF-CFA IDEV (Marseille 16e  Arrondissement - 13);Privés;BTS - BTSA - BTSM;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;BTS - Négociation et digitalisation de la Relation Client;Commerce et Management;Formations en apprentissage;;Enseignement partiellement à distance,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41595&typeBac=0&originePc=0;;http://www.idevformation.com;43.35895, 5.32194;BTS-NDRC-App;41595;41595;;;23294;11418
2025;0370053G;Lycée professionnel Gustave Eiffel (Tours - 37);Publics;BTS - BTSA - BTSM;BTS - Production - Conception de produits industriels - en apprentissage;BTS - Conception de produits industriels;Ingénierie et Technologie;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Indre-et-Loire;Tours;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41604&typeBac=0&originePc=0;;https://www.lycee-eiffel-tours.eu/?logout=1;47.421, 0.67495;BTS-CPI-App;41604;41604;;;10811;1402
2025;0280044W;Lycée Jehan De Beauce (Chartres - 28);Publics;BTS - BTSA - BTSM;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;BTS - Conception des processus de réalisation de produits (1ère année commune);Ingénierie et Technologie;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Eure-et-Loir;Chartres;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41608&typeBac=0&originePc=0;;http://lycee-jdb.fr;48.457, 1.47306;BTS-CPRP-App;41608;41608;qvczU;;6695;11410
2025;0281047L;Lycée Fulbert (Chartres - 28);Publics;BTS - BTSA - BTSM;BTS - Services - Assurance - en apprentissage;BTS - Assurance;Economie et Finance;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Eure-et-Loir;Chartres;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41609&typeBac=0&originePc=0;;https://www.lyceefulbert.fr;48.4464, 1.50854;BTS-ASS-App;41609;41609;;;24683;1443
2025;0281047L;Lycée Fulbert (Chartres - 28);Publics;BTS - BTSA - BTSM;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;BTS - Négociation et digitalisation de la Relation Client;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Eure-et-Loir;Chartres;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41610&typeBac=0&originePc=0;;https://www.lyceefulbert.fr;48.4464, 1.50854;BTS-NDRC-App;41610;41610;;;848;11418
2025;0280044W;Lycée Jehan De Beauce (Chartres - 28);Publics;BTS - BTSA - BTSM;BTS - Services - Economie sociale familiale - en apprentissage;BTS - Economie sociale familiale;Social et Education;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Eure-et-Loir;Chartres;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41615&typeBac=0&originePc=0;;http://lycee-jdb.fr;48.457, 1.47306;BTS-ESF-App;41615;41615;qvczU;;2515;1462
2025;0370038R;Lycée Grandmont (Tours - 37);Publics;BTS - BTSA - BTSM;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux - en apprentissage;BTS - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;Informatique et Numérique;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Indre-et-Loire;Tours;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41617&typeBac=0&originePc=0;;http://www.grandmont.fr;47.3602, 0.70009;BTS-CIEL-EC-App;41617;41617;;;10175;11437
2025;0360043B;Lycée Blaise Pascal (Châteauroux - 36);Publics;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel - en apprentissage;BTS - Management Commercial Opérationnel;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau;;Centre-Val de Loire;Indre;Châteauroux;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41623&typeBac=0&originePc=0;;http://www.lyceeblaisepascal.com;46.7981, 1.71128;BTS-MCO-App;41623;41623;;;10322;11423
2025;0180024D;Lycée Jean Moulin (Saint-Amand-Montrond - 18);Publics;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel - en apprentissage;BTS - Management Commercial Opérationnel;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Cher;Saint-Amand-Montrond;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41628&typeBac=0&originePc=0;;https://www.lycee-jean-moulin-st-amand.fr/;46.7343, 2.5149;BTS-MCO-App;41628;41628;;;7931;11423
2025;0831743U;Etablissement d'enseignement à distance Formation - Conseil (Toulon - 83);Privés;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel - en apprentissage - Entièrement en distanciel;BTS - Management Commercial Opérationnel;Commerce et Management;Formations en apprentissage;;Enseignement entièrement à distance,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour artistes confirmés,Formations avec aménagements pour autres publics spécifiques;;Provence-Alpes-Côte d'Azur;Var;Toulon;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41631&typeBac=0&originePc=0;;https://www.dysruptiv-campus.net;43.12903, 5.91486;BTS-MCO-App;41631;41631;;;29270;11423
2025;0573246U;CFA de la Moselle (Courcelles-Chaussy - 57);Publics;Certificats de spécialisation et FCIL;Certificat de Spécialisation Agricole - Constructions paysagères - en apprentissage;CSA - Constructions paysagères;Environnement et Agriculture;Formations en apprentissage;;Enseignement en présentiel;;Grand Est;Moselle;Courcelles-Chaussy;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41640&typeBac=0&originePc=0;;https://campus-courcelles.fr/formation-apprentissage;49.1084, 6.38189;CSA-CP-App;41640;41640;;;23557;481011
